"strName","strCAS","Source","Type","numValue","strHyperlink","strDateAssessed","strReference","POD.type","numPOD","numBMD","BMR.Type","strCriticalEffect","numUF","numUFa","numUFh","numUFs","numUFl","numUFd","numUFother","Species","Strain","numBW","Route","Organ","Effect","tblEffect_strSex","DR.Type","strEffectPOD","intAnimalsControl","intAnimalsAffectedControl","numMeanResponseControl","numSDResponseControl","CV.Type","RfDEndpoint","UFEndpoint"
"1,1,2-Trichloropropane",598776,"IRIS","RfD (mg/kg/day)",0.005,"http://www.epa.gov/iris/subst/0372.htm","9/26/1988","Villeneuve, D.C., I. Chu, V.E. Secours, M.G. Cotie, G.L. Plaa and V.E. Valli. 1985. Results of a 90-day toxicity study on 1,2,3- and 1,1,2-trichloropropane administered via the drinking water. Sci. Total Environ. 47: 421-426.","NOEL",15,NA,NA,"Mild lesions in liver, kidney, and thyroid",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","thyroid","nonneoplastic histopathology","Both","Dichotomous","Mild lesions in thyroid",NA,NA,NA,NA,"",0.015,1000
"1,1,2-Trichloropropane",598776,"IRIS","RfD (mg/kg/day)",0.005,"http://www.epa.gov/iris/subst/0372.htm","9/26/1988","Villeneuve, D.C., I. Chu, V.E. Secours, M.G. Cotie, G.L. Plaa and V.E. Valli. 1985. Results of a 90-day toxicity study on 1,2,3- and 1,1,2-trichloropropane administered via the drinking water. Sci. Total Environ. 47: 421-426.","NOEL",15,NA,NA,"Mild lesions in liver, kidney, and thyroid",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","liver","nonneoplastic histopathology","Both","Dichotomous","Mild lesions in liver",NA,NA,NA,NA,"",0.015,1000
"1,1-Dichloroethane",75343,"PPRTV","RfD (mg/kg/day)",0.2,"http://hhpprtv.ornl.gov/issue_papers/Dichloroethane11.pdf","2006","Muralidhara, S., R. Ramanathan, S.M. Mehta et al. 2001. Acute, subacute, and subchronic oral toxicity of 1,1-dichloroethane in rats: application to risk evaluation. Toxicol. Sci. 64: 134-145.","NOAEL",714.3,NA,NA,"Renal injury",3000,10,10,10,1,3,NA,"Rat","Sprague-Dawley",NA,"Oral gavage","kidneys","urinalysis","Both","Continuous","renal injury (transitory and reversible increase in urinary enzymes (ACP) indicative of renal injury at 8 weeks)",NA,NA,NA,NA,"",0.6,1000
"1,1-Dichloroethylene",75354,"ATSDR","Chronic Oral MRL (mg/kg/day)",0.009,"http://www.atsdr.cdc.gov/ToxProfiles/tp39.pdf","5/1994","Quast JF, Humiston CG, Wade CE, et al. 1983. A chronic toxicity and oncogenicity study in rats and subchronic toxicity study in dogs on ingested vinylidene chloride. Fundam Appl Toxicol 3(1):55-62.","LOAEL",9,NA,NA,"hepatic effects",1000,10,10,1,10,1,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","liver","nonneoplastic histopathology","Both","Dichotomous","hepatocellular swelling with midzonal fatty changes",NA,NA,NA,NA,"",0.009,1000
"1,1-Dichloroethylene",75354,"IRIS","RfD (mg/kg/day)",0.05,"http://www.epa.gov/iris/subst/0039.htm","8/13/2002","Quast, JF; Humiston, CG; Wade, CE; et al. (1983) A chronic toxicity and oncogenicity study in rats and subchronic toxicity study in dogs on ingested vinylidene chloride. Fundam Appl Toxicol 3:55-62.","BMDL",4.6,6.6,"10% ER","Liver toxicity (fatty change)",100,10,10,1,1,1,NA,"Rat","Sprague-Dawley",NA,"Oral drinking water","liver","nonneoplastic histopathology","F","Dichotomous","Liver toxicity (fatty change)",80,10,NA,NA,"",0.05,100
"1,2,3-Trichloropropane",96184,"IRIS","RfD (mg/kg/day)",0.004,"http://www.epa.gov/iris/subst/0200.htm","9/30/2009","NTP. (1993) Toxicology and carcinogenesis studies of 1,2,3-trichloropropane (CAS No. 96-18-4) in F344/N/N rats and B6C3F1 mice (gavage studies). Public Health Service, U.S. Department of Health and Human Services; NTP TR 384. NIH Publication No. 94-2839. Research Triangle Park, NC: National Institute of Environmental Health Sciences.","BMDL",1.1,3.8,"10% RD","Increased absolute liver weight in male rats",300,10,10,1,1,3,NA,"Rat","Fischer 344",NA,"Oral gavage","liver","organ weight","M","Continuous","Increased absolute liver weight in male rats",10,NA,14.27,0.37,"SE",0.012,100
"1,2,4,5-Tetrachlorobenzene",95943,"IRIS","RfD (mg/kg/day)",3e-04,"http://www.epa.gov/iris/subst/0107.htm","3/1/1991","Chu, I., D.C. Villeneuve, V.E. Valli and V.E. Secours. 1984. Toxicity of 1,2,3,4-, 1,2,3,5- and 1,2,4,5-tetrachlorobenzene in the rat: Results of a 90- day feeding study. Drug Chem. Toxicol. 7: 113-127.","NOAEL",0.34,NA,NA,"Kidney lesions",1000,10,10,10,1,1,NA,"Rat","Sprague-Dawley",NA,"Oral diet","kidneys","nonneoplastic histopathology","M","Dichotomous","Kidney lesions",15,10,NA,NA,"",3e-04,1000
"1,2,4-Triazole",288880,"OPP","Chronic RfD (mg/kg/day)",0.005,"http://www.epa.gov/opp00001/chem_search/cleared_reviews/csr_PC-600011_7-Feb-06_a.pdf","2/7/2006","MRID 46467304","LOAEL",15,NA,NA,"decreased body weight and body weight gain in F1 males, decreased body weight, body weight gain, and brain weight in F2 pups",3000,10,10,1,3,10,NA,"Rat","",NA,"","systemic","body weight","Both","","decreased body weight and body weight gain (F1 males, F2 males and females)",NA,NA,NA,NA,"",0.05,300
"1,2,4-Triazole",288880,"OPP","Chronic RfD (mg/kg/day)",0.005,"http://www.epa.gov/opp00001/chem_search/cleared_reviews/csr_PC-600011_7-Feb-06_a.pdf","2/7/2006","MRID 46467304","LOAEL",15,NA,NA,"decreased body weight and body weight gain in F1 males, decreased body weight, body weight gain, and brain weight in F2 pups",3000,10,10,1,3,10,NA,"Rat","",NA,"","brain","organ weight","Both","","decreased brain weight (F2 pups)",NA,NA,NA,NA,"",0.05,300
"1,2,4-Tribromobenzene",615543,"IRIS","RfD (mg/kg/day)",0.005,"http://www.epa.gov/iris/subst/0196.htm","6/1/1993","Carlson, G.P. and R.G. Tardiff. 1977. Effect of 1,4-dibromobenzene and 1,2,4-tribromobenzene on xenobiotic metabolism. Toxicol. Appl. Pharmacol. 42: 189-196.","NOAEL",5,NA,NA,"Increased liver-to- body weight ratio and hepatic microsomal 

enzyme induction",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral gavage","liver","organ weight","Both","Continuous","Increased liver-to- body weight ratio",6,NA,3.49,0.08,"SE",0.005,1000
"1,2,4-Tribromobenzene",615543,"IRIS","RfD (mg/kg/day)",0.005,"http://www.epa.gov/iris/subst/0196.htm","6/1/1993","Carlson, G.P. and R.G. Tardiff. 1977. Effect of 1,4-dibromobenzene and 1,2,4-tribromobenzene on xenobiotic metabolism. Toxicol. Appl. Pharmacol. 42: 189-196.","NOAEL",5,NA,NA,"Increased liver-to- body weight ratio and hepatic microsomal 

enzyme induction",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral gavage","liver","enzyme activity","Both","Continuous","Increased hepatic microsomal enzyme induction",NA,NA,NA,NA,"",0.005,1000
"1,2,4-Trichlorobenzene",120821,"ATSDR","Chronic Oral MRL (mg/kg/day)",0.1,"http://www.atsdr.cdc.gov/ToxProfiles/tp199.pdf","9/2010","Moore MR. 1994a. Final report (6 copies), 104-week dietary carcinogenicity study with 1,2,4-trichlorobenzene in rats, with cover letter dated 6/15/94. Chemical Manufacturers Association. Submitted to the U.S. Environmental Protection Agency under TSCA Section 4. EPA Document No. OPPTS-44612. OTS0558832.","BMDL",13.33,23.25,"10% ER","hepatocellular hypertrophy in male rats",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral diet","liver","nonneoplastic histopathology","M","Dichotomous","hepatocellular hypertrophy",50,2,NA,NA,"",0.1,100
"1,2,4-Trichlorobenzene",120821,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0119.htm","11/1/1996","Robinson, K.S., R.J. Kavlock, N. Chernoff and E. Gray. 1981. Multi- generation study of 1,2,4-trichlorobenzene in rats. J. Toxicol. Environ. Health. 8: 489-500.","NOAEL",14.8,NA,NA,"Increased adrenal weights; vacuolization of zona fasciculata in the cortex",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral drinking water","adrenal glands","organ weight","M","Continuous","increased adrenal weight - F1 - vehicle control",10,NA,28,1.57,"SE",0.01,1000
"1,2,4-Trichlorobenzene",120821,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0119.htm","11/1/1996","Robinson, K.S., R.J. Kavlock, N. Chernoff and E. Gray. 1981. Multi- generation study of 1,2,4-trichlorobenzene in rats. J. Toxicol. Environ. Health. 8: 489-500.","NOAEL",14.8,NA,NA,"Increased adrenal weights; vacuolization of zona fasciculata in the cortex",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral drinking water","adrenal glands","organ weight","F","Continuous","Increased adrenal weight - F0 - vehicle control",10,NA,36.8,1.14,"SE",0.01,1000
"1,2,4-Trichlorobenzene",120821,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0119.htm","11/1/1996","Robinson, K.S., R.J. Kavlock, N. Chernoff and E. Gray. 1981. Multi- generation study of 1,2,4-trichlorobenzene in rats. J. Toxicol. Environ. Health. 8: 489-500.","NOAEL",14.8,NA,NA,"Increased adrenal weights; vacuolization of zona fasciculata in the cortex",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral drinking water","adrenal glands","organ weight","M","Continuous","Increased adrenal weight - F0 - vehicle control",10,NA,28.7,1.78,"SE",0.01,1000
"1,2,4-Trichlorobenzene",120821,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0119.htm","11/1/1996","Robinson, K.S., R.J. Kavlock, N. Chernoff and E. Gray. 1981. Multi- generation study of 1,2,4-trichlorobenzene in rats. J. Toxicol. Environ. Health. 8: 489-500.","NOAEL",14.8,NA,NA,"Increased adrenal weights; vacuolization of zona fasciculata in the cortex",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral drinking water","adrenal glands","organ weight","F","Continuous","increased adrenal weight - F1 - vehicle control",NA,NA,37,1.36,"SE",0.01,1000
"1,2,4-Trichlorobenzene",120821,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0119.htm","11/1/1996","Robinson, K.S., R.J. Kavlock, N. Chernoff and E. Gray. 1981. Multi- generation study of 1,2,4-trichlorobenzene in rats. J. Toxicol. Environ. Health. 8: 489-500.","NOAEL",14.8,NA,NA,"Increased adrenal weights; vacuolization of zona fasciculata in the cortex",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral gavage","adrenal glands","nonneoplastic histopathology","M","Dichotomous","Vacuolization of zona fasciculata in the adrenal cortex",NA,NA,NA,NA,"",0.01,1000
"1,2,4-Trichlorobenzene",120821,"IRIS","RfD (mg/kg/day)",0.01,"http://www.epa.gov/iris/subst/0119.htm","11/1/1996","Robinson, K.S., R.J. Kavlock, N. Chernoff and E. Gray. 1981. Multi- generation study of 1,2,4-trichlorobenzene in rats. J. Toxicol. Environ. Health. 8: 489-500.","NOAEL",14.8,NA,NA,"Increased adrenal weights; vacuolization of zona fasciculata in the cortex",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral gavage","adrenal glands","nonneoplastic histopathology","F","Dichotomous","Vacuolization of zona fasciculata in the adrenal cortex",NA,NA,NA,NA,"",0.01,1000
"1,2-Dibromo-3-Chloropropane",96128,"PPRTV","RfD (mg/kg/day)",2e-04,"http://hhpprtv.ornl.gov/issue_papers/Dibromo3Chloropropane12.pdf","8/3/2006","Foote, R.H., W.E. Berndtson and T.R. Rounsaville. 1986b. Use of quantitative testicular histology to assess the effect of dibromochloropropane on reproduction in rabbits. Fund. Appl. Toxicol. 6: 638-647.","NOAEL",0.7,NA,NA,"Testicular effects",3000,10,10,10,1,3,NA,"Rabbit","Dutch",NA,"Oral drinking water","male repro","reproduction","M","Continuous","Testicular effects: reduced numbers of spermatogonia",5,NA,2.3,0.13,"SE",6e-04,1000
"1,2-Dibromo-3-Chloropropane",96128,"PPRTV","RfD (mg/kg/day)",2e-04,"http://hhpprtv.ornl.gov/issue_papers/Dibromo3Chloropropane12.pdf","8/3/2006","Foote, R.H., W.E. Berndtson and T.R. Rounsaville. 1986b. Use of quantitative testicular histology to assess the effect of dibromochloropropane on reproduction in rabbits. Fund. Appl. Toxicol. 6: 638-647.","NOAEL",0.7,NA,NA,"Testicular effects",3000,10,10,10,1,3,NA,"Rabbit","Dutch",NA,"Oral drinking water","male repro","reproduction","Both","Continuous","Testicular effects: reduced numbers of preleptotene spermatocytes",5,NA,42.5,2.4,"SE",6e-04,1000
"1,2-Dichlorobenzene",95501,"ATSDR","Chronic Oral MRL (mg/kg/day)",0.3,"http://www.atsdr.cdc.gov/toxprofiles/tp10.pdf","8/2006","NTP. 1985. Toxicology and carcinogenesis studies of 1,2-dichlorobenzene (o-dichlorobenzene) (CAS No. 95-50-1) in F344/N rats and B6C3F1 mice (gavage studies). Research Triangle Park, NC: National Toxicology Program. NTP TR 255. NIH Publication No. 86-2511.","BMDL",43.04,62.96,"10% ER","increased incidences of renal tubular regeneration in male mice",100,10,10,1,1,1,NA,"Mouse","B6C3F1",NA,"Oral gavage","kidneys","nonneoplastic histopathology","M","Dichotomous","Regeneration of kidney tubule cells",48,8,NA,NA,"",0.3,100
"1,2-Dichlorobenzene",95501,"IRIS","RfD (mg/kg/day)",0.09,"http://www.epa.gov/iris/subst/0408.htm","3/10/1991","NTP (National Toxicology Program). 1985. Toxicology and carcinogenesis studies of 1,2-dichlorobenzene (o-dichlorobenzene) (CAS No. 95-50-1) in F344/N rats and B6C3F1 mice (gavage studies). NTP TR 255. NIH Publ. No. 86-2511.","NOAEL",85.7,NA,NA,"No adverse effects observed",1000,10,10,1,1,10,NA,"Rat","Fischer 344",NA,"Oral gavage","none","none","Both","Continuous","No adverse effects observed",NA,NA,NA,NA,"",0.9,100
"1,2-Dichloropropane",78875,"ATSDR","Chronic Oral MRL (mg/kg/day)",0.09,"http://www.atsdr.cdc.gov/toxprofiles/tp134.pdf","9/1989","NTP (National Toxicology Program). 1986. Toxicology and carcinogenesis studies of 1,2-dichloropropane (propylene dichloride) in F344/N rats and

B6C3Fl mice (gavage studies). Technical Report-No. 263.","LOAEL",89,NA,NA,"hepatic necrosis",1000,10,10,1,10,1,NA,"Mouse","B6C3F1",NA,"Oral gavage","liver","nonneoplastic histopathology","F","Dichotomous","hepatic necrosis (focal and centrilobular combined)",50,2,NA,NA,"",0.09,1000
"1,2-Dinitrobenzene",528290,"PPRTV","RfD (mg/kg/day)",1e-04,"http://hhpprtv.ornl.gov/issue_papers/Dinitrobenzene12.pdf","2006","Cody, T.E., S. Witherup, L. Hastings et al. 1981. 1,3-Dinitrobenzene: toxic effects in vivo and

in vitro. J. Toxicol. Environ. Health. 7: 829-847.","NOAEL",0.4,NA,NA,"Increased spleen weight",3000,10,10,10,1,3,NA,"Rat","Carworth farm",NA,"Oral drinking water","spleen","organ weight","F","Continuous","Increased spleen weight (apparently secondary to erythrocyte effects)",20,NA,0.68,0.01,"SE",3e-04,1000
"1,2-Dinitrobenzene",528290,"PPRTV","RfD (mg/kg/day)",1e-04,"http://hhpprtv.ornl.gov/issue_papers/Dinitrobenzene12.pdf","2006","Cody, T.E., S. Witherup, L. Hastings et al. 1981. 1,3-Dinitrobenzene: toxic effects in vivo and

in vitro. J. Toxicol. Environ. Health. 7: 829-847.","NOAEL",0.4,NA,NA,"Increased spleen weight",3000,10,10,10,1,3,NA,"Rat","Carworth farm",NA,"Oral drinking water","spleen","organ weight","M","Continuous","Increased spleen weight (apparently secondary to erythrocyte effects)",20,NA,0.85,0.02,"SE",3e-04,1000
"1,3,5-Trinitrobenzene",99354,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0316.htm","10/1/1997","Reddy, T.V., F.B. Daniel, G.R. Olson, B. Wiechman and G. Reddy. 1996. Chronic toxicity studies of 1,3,5-trinitrobenzene in Fischer 344 rats. U.S. Army, Fort Detrick, MD. (Final Report)

 

Reddy, G., T.V. Reddy, H. Choudhury, F.B. Daniel and G. Leach. 1997. Assessments of environmental Hazards of 1,3,5-trinitrobenzene (TNB). J. Toxicol.Environ. Health 52:101-114.","NOAEL",2.68,NA,NA,"Methemoglobinemia and spleen-erythroid cell hyperplasia",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral diet","blood","hematology","F","Continuous","Methemoglobinemia",10,NA,1,0.63,"SD",0.03,100
"1,3,5-Trinitrobenzene",99354,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0316.htm","10/1/1997","Reddy, T.V., F.B. Daniel, G.R. Olson, B. Wiechman and G. Reddy. 1996. Chronic toxicity studies of 1,3,5-trinitrobenzene in Fischer 344 rats. U.S. Army, Fort Detrick, MD. (Final Report)

 

Reddy, G., T.V. Reddy, H. Choudhury, F.B. Daniel and G. Leach. 1997. Assessments of environmental Hazards of 1,3,5-trinitrobenzene (TNB). J. Toxicol.Environ. Health 52:101-114.","NOAEL",2.68,NA,NA,"Methemoglobinemia and spleen-erythroid cell hyperplasia",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral diet","blood","hematology","M","Continuous","Methemoglobinemia",10,NA,0.66,0.3,"SD",0.03,100
"1,3,5-Trinitrobenzene",99354,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0316.htm","10/1/1997","Reddy, T.V., F.B. Daniel, G.R. Olson, B. Wiechman and G. Reddy. 1996. Chronic toxicity studies of 1,3,5-trinitrobenzene in Fischer 344 rats. U.S. Army, Fort Detrick, MD. (Final Report)

 

Reddy, G., T.V. Reddy, H. Choudhury, F.B. Daniel and G. Leach. 1997. Assessments of environmental Hazards of 1,3,5-trinitrobenzene (TNB). J. Toxicol.Environ. Health 52:101-114.","NOAEL",2.68,NA,NA,"Methemoglobinemia and spleen-erythroid cell hyperplasia",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral diet","spleen","nonneoplastic histopathology","F","Dichotomous","spleen-erythroid cell hyperplasia",27,15,NA,NA,"",0.03,100
"1,3,5-Trinitrobenzene",99354,"IRIS","RfD (mg/kg/day)",0.03,"http://www.epa.gov/iris/subst/0316.htm","10/1/1997","Reddy, T.V., F.B. Daniel, G.R. Olson, B. Wiechman and G. Reddy. 1996. Chronic toxicity studies of 1,3,5-trinitrobenzene in Fischer 344 rats. U.S. Army, Fort Detrick, MD. (Final Report)

 

Reddy, G., T.V. Reddy, H. Choudhury, F.B. Daniel and G. Leach. 1997. Assessments of environmental Hazards of 1,3,5-trinitrobenzene (TNB). J. Toxicol.Environ. Health 52:101-114.","NOAEL",2.68,NA,NA,"Methemoglobinemia and spleen-erythroid cell hyperplasia",100,10,10,1,1,1,NA,"Rat","Fischer 344",NA,"Oral diet","spleen","nonneoplastic histopathology","M","Dichotomous","spleen-erythroid cell hyperplasia",26,8,NA,NA,"",0.03,100
"1,3-Benzenediamine",108452,"IRIS","RfD (mg/kg/day)",0.006,"http://www.epa.gov/iris/subst/0087.htm","8/1/1991","ofer, H., R. Hruby, E Hruby, et al. 1982. Ninety-day toxicity study with m- phenylenediamine on rats. Oestrr. Forschungszent. Seibersdorf (Ber.) OEFZS Ber. No. 4155. p. 1-46.","NOAEL",6,NA,NA,"Increased relative and absolute liver weights and degenerative 

liver lesions",1000,10,10,10,1,1,NA,"Rat","Unspecified",NA,"Oral drinking water","liver","nonneoplastic histopathology","Both","","nonneoplastic histopathology",NA,NA,NA,NA,"",0.006,1000
