ColumnName,Description
PrAF.Subchronic.Var,Log-transformed variance contributed by uncertainty due to use of less-than-chronic study
PrAF.BW.Var,Log-transformed variance contributed by uncertainty in allometric scaling exponent
PrAF.TKTD.Var,Log-transformed variance contributed by uncertainty due to animal-to-human TK/TD differences after allometric scaling
PrAF.Human.approx.Var,Log-transformed variance contributed by uncertainty in extent of human variability
PrAF.BMDL.pct,Fraction of log-transformed variance contributed by uncertainty in BMD
PrAF.LOAEL.pct,Fraction of log-transformed variance contributed by uncertainty due to use of LOAEL
PrAF.NOAEL.pct,Fraction of log-transformed variance contributed by uncertainty due to use of NOAEL
PrAF.Subchronic.pct,Fraction of log-transformed variance contributed by uncertainty due to use of less-than-chronic study
PrAF.BW.pct,Fraction of log-transformed variance contributed by uncertainty in allometric scaling exponent
PrAF.TKTD.pct,Fraction of log-transformed variance contributed by uncertainty due to animal-to-human TK/TD differences after allometric scaling
PrAF.Human.approx.pct,Fraction of log-transformed variance contributed by uncertainty in extent of human variability
HDMI.mc.p50,Median estimate of HDMI from Monte Carlo simulation
HDMI.mc.p05,Lower 95% confidence bound of HDMI from Monte Carlo simulation
HDMI.mc.p95,Upper 95% confidence bound of HDMI from Monte Carol simulation
